track_name,artist(s)_name,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,artist_count,released_year,released_month,released_day,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,speechiness_%,liveness_%,key,mode
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",14417,1115880852,237,569,3,2021,3,5,0,123,0,10,148,59,72,62,18,0,3,9,F,Major
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3107,720434240,38,4,3,2022,6,24,39,0,0,0,101,88,72,59,62,0,3,9,D,Major
Less Than Zero,The Weeknd,2800,200660871,18,61,1,2022,1,7,0,77,0,1,143,53,50,79,0,0,3,8,,Major
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,6512,446390129,88,277,1,1959,11,16,0,1,0,0,134,45,72,24,91,0,4,18,C#,Major
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",10585,473248298,126,406,2,1950,1,1,0,108,0,0,143,60,86,32,88,0,6,34,D,Major
Let Me Down Slowly,Alec Benjamin,5897,1374581173,0,885,1,2018,5,25,19,0,0,0,150,65,51,55,73,0,3,14,C#,Minor
Levitating,Dua Lipa,9833,797196073,233,531,1,2020,3,27,0,82,1,1,103,69,90,88,5,0,8,29,F#,Minor
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",15894,1802514301,198,544,2,2020,3,27,8,13,0,60,103,70,92,83,1,0,6,7,F#,Minor
Ley Seca,"Anuel Aa, Jhay Cortez",2012,355219175,101,38,2,2021,9,2,0,12,0,0,105,76,58,84,10,0,10,13,G#,Major
Leï¿½,Marï¿½ï¿½lia Mendo,993,267789608,30,88,1,2022,12,9,4,84,1,28,130,74,79,87,45,0,3,30,F#,Major
Life Goes On,Oliver Tree,2868,501541661,43,116,1,2020,7,17,0,15,0,,80,70,57,49,19,0,8,12,,Major
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,3311,297328960,129,212,1,2022,10,28,0,31,1,41,177,25,17,30,90,0,3,13,A,Major
Light Switch,Charlie Puth,4049,500340342,119,85,1,2022,1,19,0,6,1,1,184,69,91,63,11,0,31,9,F#,Major
Like Crazy,Jimin,596,363369738,8,23,1,2023,3,24,68,104,2,29,120,63,36,73,0,0,4,36,G,Major
Like Crazy (English Version),Jimin,373,173627354,4,5,1,2023,3,24,19,72,0,5,120,62,32,76,0,0,4,39,G,Major
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",215,51985779,6,8,2,2023,6,5,6,14,2,4,84,43,14,74,1,0,8,19,A,Minor
Limbo,Freddie Dredd,688,199386237,14,17,1,2022,8,11,0,1,0,2,75,80,46,62,3,6,46,11,B,Minor
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",197,32761689,3,3,5,2023,6,2,0,10,0,0,101,92,59,51,41,51,8,26,F,Major
Little Freak,Harry Styles,2302,273194684,20,39,1,2022,5,20,0,3,0,0,142,56,40,54,72,0,4,10,D#,Major
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3423,775542072,61,53,3,2021,10,5,26,65,6,0,170,64,14,70,9,0,8,9,E,Minor
Locked Out Of Heaven,Bruno Mars,1622,1481349984,0,356,1,2012,12,5,9,0,0,0,144,73,87,70,6,0,5,28,F,Major
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,123122413,22,34,8,2023,6,1,31,33,7,184,120,81,63,68,11,0,4,11,,Major
Lose Yourself - Soundtrack Version,Eminem,32502,1829992958,247,5567,1,2002,1,1,21,54,1,51,171,70,6,73,1,0,26,36,D,Major
Lost,Frank Ocean,29499,822239726,124,587,1,2012,1,1,11,27,0,4,123,91,49,61,3,0,22,17,A#,Minor
Lost in the Fire,"The Weeknd, Gesaffelstein",7731,686734357,110,447,2,2019,1,11,2,145,0,46,101,66,18,68,9,0,4,12,D,Major
Love Again,The Kid Laroi,1283,147538971,57,48,1,2023,1,27,0,4,0,0,107,66,47,40,72,0,3,11,B,Minor
Love Grows (Where My Rosemary Goes),Edison Lighthouse,2877,0,16,54,1,1970,1,1,0,0,0,0,110,53,75,69,7,0,3,17,A,Major
Love Language,SZA,1127,110849052,16,8,1,2022,12,9,0,63,0,0,65,71,55,26,85,0,8,13,A,Minor
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2696,540539717,42,57,3,2019,8,30,0,2,0,,120,58,44,60,44,9,6,5,G#,Major
Love Of My Life,Harry Styles,1933,233671263,13,31,1,2022,5,20,0,2,0,0,118,56,20,54,67,0,5,6,G,Major
Love Yourself,Justin Bieber,22730,2123309722,289,2430,1,2015,11,9,5,87,0,36,100,61,53,38,84,0,44,28,E,Major
Lover,Taylor Swift,8448,882831184,160,163,1,2012,1,1,23,110,0,5,206,43,50,55,50,0,10,15,G,Major
Lovers Rock,TV Girl,6339,466231982,3,36,1,2014,6,5,13,1,1,37,105,56,57,87,0,1,4,10,F,Minor
Lovezinho,Treyce,242,70069745,12,13,1,2022,7,28,0,2,0,4,128,82,61,59,30,0,4,12,E,Minor
Low,SZA,1911,272377463,23,14,1,2022,12,9,0,71,0,9,145,70,34,55,43,0,6,16,,Minor
Lucid Dreams,Juice WRLD,14749,2288695111,188,710,1,2017,6,15,0,34,0,5,84,44,22,48,38,0,24,33,B,Minor
Lï¿½ï¿½ï¿,Stromae,2035,108809090,41,394,1,2022,1,9,0,122,0,2,88,56,58,55,35,0,11,23,D,Minor
MAMIII,"Karol G, Becky G",6809,716591492,151,175,2,2022,2,10,28,102,5,29,94,84,90,70,9,0,8,14,E,Minor
